site,repr,sigma_idx,n_good,med_diag,med_off,med_ratio,frac_gt2,verdict
s0_conv_in,pooled,0,0,,,,,no_signal
s0_conv_in,pooled,1,0,,,,,no_signal
s0_conv_in,pooled,2,0,,,,,no_signal
s1_d_stage1,pooled,0,5,0.17111539840698242,0.0,99.0,0.6,PASS
s1_d_stage1,pooled,1,6,0.22245734930038452,0.0,99.0,0.6666666666666666,PASS
s1_d_stage1,pooled,2,6,0.24949049949645996,0.0,99.0,0.6666666666666666,PASS
s2_d_stage3,pooled,0,5,0.3786051273345947,0.0,99.0,0.6,PASS
s2_d_stage3,pooled,1,5,0.4202601909637451,0.0,99.0,0.6,PASS
s2_d_stage3,pooled,2,5,0.43211835622787476,0.0,99.0,0.6,PASS
s2_d_stage3,flat,0,6,0.9318693280220032,0.0,99.0,0.6666666666666666,PASS
s2_d_stage3,flat,1,6,0.9494619965553284,0.0,99.0,0.6666666666666666,PASS
s2_d_stage3,flat,2,6,0.96341872215271,0.0,99.0,0.6666666666666666,PASS
s3_mid,pooled,0,5,0.41074860095977783,0.0,99.0,0.6,PASS
s3_mid,pooled,1,5,0.5165040493011475,0.0,99.0,0.6,PASS
s3_mid,pooled,2,5,0.5315806865692139,0.0,99.0,0.6,PASS
s3_mid,flat,0,6,0.9128662049770355,0.0,99.0,0.6666666666666666,PASS
s3_mid,flat,1,6,0.938544899225235,0.0,99.0,0.6666666666666666,PASS
s3_mid,flat,2,6,0.9513530433177948,0.0,99.0,0.6666666666666666,PASS
s4_u_stage1,pooled,0,5,0.381924033164978,0.0,99.0,0.6,PASS
s4_u_stage1,pooled,1,5,0.3930968642234802,0.0,99.0,0.6,PASS
s4_u_stage1,pooled,2,5,0.4540059566497803,0.0,99.0,0.6,PASS
s5_u_stage3,pooled,0,0,,,,,no_signal
s5_u_stage3,pooled,1,0,,,,,no_signal
s5_u_stage3,pooled,2,0,,,,,no_signal
